JobId,StepId,StepName,Subsystem,DatabaseName,OnSuccessAction,OnFailAction
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,1,Check Disk Space,TSQL,master,3,2
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,2,Backup master,TSQL,master,3,2
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,3,Backup msdb,TSQL,msdb,3,2
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,4,Backup UserDB,TSQL,UserDB,3,2
A1B2C3D4-E5F6-7890-ABCD-EF1234567890,5,Verify Backup,TSQL,master,1,2
B2C3D4E5-F6A7-8901-BCDE-F12345678901,1,Extract from Source,TSQL,SalesSource,3,2
B2C3D4E5-F6A7-8901-BCDE-F12345678901,2,Transform Data,TSQL,Staging,3,2
B2C3D4E5-F6A7-8901-BCDE-F12345678901,3,Load to Warehouse,TSQL,DataWarehouse,3,2
B2C3D4E5-F6A7-8901-BCDE-F12345678901,4,Update Statistics,TSQL,DataWarehouse,1,2
C3D4E5F6-A7B8-9012-CDEF-123456789012,1,Rebuild Indexes,TSQL,UserDB,3,2
C3D4E5F6-A7B8-9012-CDEF-123456789012,2,Update Statistics,TSQL,UserDB,1,2
D4E5F6A7-B8C9-0123-DEF0-234567890123,1,Clear Temp Tables,TSQL,ReportDB,3,2
D4E5F6A7-B8C9-0123-DEF0-234567890123,2,Generate Summary,TSQL,ReportDB,3,2
D4E5F6A7-B8C9-0123-DEF0-234567890123,3,Export to File,CmdExec,,1,2
E5F6A7B8-C9D0-1234-EF01-345678901234,1,Delete Old Logs,TSQL,UserDB,3,2
E5F6A7B8-C9D0-1234-EF01-345678901234,2,Archive Old Orders,TSQL,UserDB,1,2
F6A7B8C9-D0E1-2345-F012-456789012345,1,Check Referential Integrity,TSQL,DataWarehouse,3,2
F6A7B8C9-D0E1-2345-F012-456789012345,2,Validate Null Constraints,TSQL,DataWarehouse,1,2
A7B8C9D0-E1F2-3456-0123-567890123456,1,Ship Transaction Log,TSQL,master,1,2
